City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,seward,40.907,-97.0989,-0.5,85,100,5.36,US,1704673326
264,sinop,41.7711,34.8709,8.31,83,63,3.14,TR,1704673326
265,alofi,-19.0595,-169.9187,29.94,74,22,1.54,NU,1704673326
266,santo antonio do sudoeste,-26.0736,-53.7253,23.91,60,27,0.85,BR,1704673326
267,angaur state,6.906,134.13,28.23,80,100,5.66,PW,1704673326
268,yorkton,51.2167,-102.4677,-16.09,92,100,3.6,CA,1704673327
269,san antonio de pale,-1.4014,5.6325,27.21,77,20,2.99,GQ,1704673327
270,arteche,12.2645,125.4048,26.71,88,44,4.54,PH,1704673327
271,tocoa,15.6833,-86.0,26.79,93,12,0.44,HN,1704673327
272,okhotsk,59.3833,143.3,-33.31,82,31,4.44,RU,1704673327
273,amga,60.8953,131.9608,-49.02,100,70,0.5,RU,1704673327
274,turbat,26.0023,63.044,19.65,48,27,3.76,PK,1704673327
275,hilo,19.7297,-155.09,25.85,83,40,6.17,US,1704673223
276,lata,40.1629,-8.3327,3.37,79,39,1.49,PT,1704673327
277,hounde,11.5,-3.5167,26.79,16,69,1.53,BF,1704673327
278,vilyuchinsk,52.9306,158.4028,-15.04,84,18,2.88,RU,1704673327
279,kununurra,-15.7667,128.7333,26.99,83,100,3.6,AU,1704673328
280,tocopilla,-22.092,-70.1979,22.25,71,27,5.33,CL,1704673328
281,karratha,-20.7377,116.8463,33.99,24,4,7.23,AU,1704673328
282,colonia,50.9333,6.95,-0.02,64,100,7.2,DE,1704673282
283,college,64.8569,-147.8028,-10.03,79,100,0.0,US,1704673328
284,grand baie,-20.0182,57.5802,25.26,87,12,1.79,MU,1704673328
285,cabo san lucas,22.8909,-109.9124,24.23,48,0,6.17,MX,1704672629
286,fort st. john,56.2499,-120.8529,-22.06,84,20,2.57,CA,1704673328
287,ciudad lazaro cardenas,17.9583,-102.2,26.48,67,100,2.16,MX,1704673217
288,muisne,0.6,-80.0333,25.13,87,93,4.04,EC,1704673328
